# firmware	category	id	title	summary	command template	risk
# Angle-bracket values are required fields. Square-bracket values are optional fields.
ghostesp	Wi-Fi Test	ghost-attack-channel	Channel-switch test	Send channel-switch announcements to selected targets.	attack -c	safe
ghostesp	Wi-Fi Test	ghost-attack-eapol	EAPOL logoff test	Send EAPOL logoff frames to selected targets.	attack -e	safe
ghostesp	Wi-Fi Test	ghost-attack-probe	Probe flood test	Run a probe-request load test.	attack -p	safe
ghostesp	Wi-Fi Test	ghost-attack-auth	Authentication flood test	Run an authentication-frame load test.	attack -a	safe
ghostesp	Wi-Fi Test	ghost-stopdeauth	Stop deauthentication	Stop an active deauthentication operation.	stopdeauth	safe
ghostesp	Wi-Fi Test	ghost-dhcpstarve	DHCP starvation test	Run a DHCP server capacity test.	dhcpstarve start [thread_count]	safe
ghostesp	Wi-Fi Test	ghost-saeflood	SAE load test	Run an SAE authentication load test against the selected WPA3 AP.	saeflood <password>	safe
ghostesp	Wi-Fi Test	ghost-stopsae	Stop SAE test	Stop the active SAE load test.	stopsaeflood	safe
ghostesp	Wi-Fi Test	ghost-saehelp	SAE test help	Show detailed SAE test help.	saefloodhelp	safe
ghostesp	Wi-Fi Test	ghost-karma-start	Karma test	Start a Karma test with optional SSID names.	karma start [ssid_list...]	safe
ghostesp	Wi-Fi Test	ghost-karma-stop	Stop Karma	Stop the active Karma test.	karma stop	safe
ghostesp	Beacon	ghost-beaconspam	Beacon test	Start a selected beacon advertisement test.	beaconspam [options]	safe
ghostesp	Beacon	ghost-beaconadd	Add beacon SSID	Add an SSID to the beacon test list.	beaconadd <ssid>	safe
ghostesp	Beacon	ghost-beaconremove	Remove beacon SSID	Remove an SSID from the beacon test list.	beaconremove <ssid>	safe
ghostesp	Beacon	ghost-beaconclear	Clear beacon list	Clear the beacon test list.	beaconclear	safe
ghostesp	Beacon	ghost-beaconshow	Show beacon list	Show the beacon test list.	beaconshow	safe
ghostesp	Beacon	ghost-beaconlist-start	Run beacon list	Start transmitting the configured beacon list.	beaconspamlist	safe
ghostesp	Beacon	ghost-stopspam	Stop beacon test	Stop the active beacon advertisement test.	stopspam	safe
ghostesp	Capture	ghost-capture	Packet capture	Start a selected packet-capture mode with optional channel settings.	capture <capture_mode> [options]	safe
ghostesp	Capture	ghost-capture-export	Export PCAP	Export a PCAP file through the firmware capture interface.	capture -export <pcap_file>	safe
ghostesp	Capture	ghost-capture-wireshark	Wireshark stream	Stream captured frames for Wireshark.	capture -wireshark [channel]	safe
ghostesp	Wardrive	ghost-startwd	Start wardrive	Start GPS wardriving with optional channel settings.	startwd [options]	safe
ghostesp	Wardrive	ghost-wdstream-start	Start wardrive stream	Start a live wardrive stream.	wdstream start [options]	safe
ghostesp	Wardrive	ghost-wdstream-stop	Stop wardrive stream	Stop live wardrive streaming.	wdstream stop	safe
ghostesp	Wardrive	ghost-wdstream-status	Wardrive stream status	Show wardrive stream status.	wdstream status	safe
ghostesp	Wardrive	ghost-wigle-api	WiGLE credentials	Set WiGLE API credentials.	wigle API <api_token>	safe
ghostesp	Wardrive	ghost-wigle-auto	WiGLE automatic upload	Enable or disable automatic WiGLE uploads.	wigle auto <on,off>	safe
ghostesp	Wardrive	ghost-wigle-donate	WiGLE donate flag	Enable or disable the WiGLE donate flag.	wigle donate <on,off>	safe
ghostesp	Wardrive	ghost-wigle-show	WiGLE settings	Show WiGLE settings.	wigle show	safe
ghostesp	Wardrive	ghost-wigle-files	WiGLE files	List wardrive CSV files.	wigle files [page]	safe
ghostesp	Wardrive	ghost-wigle-upload	Upload WiGLE file	Upload a selected wardrive CSV file.	wigle upload <file_name>	safe
ghostesp	Wardrive	ghost-wigle-stats	WiGLE statistics	Show account statistics for the current API key.	wigle stats	safe
ghostesp	GPS	ghost-gpsinfo	GPS information	Show GPS state and fix details.	gpsinfo [options]	safe
ghostesp	GPS	ghost-gpspin	GPS RX pin	Set the external GPS receive pin.	gpspin <pin>	safe
ghostesp	GPS	ghost-gpsbaud	GPS baud rate	Set or auto-detect the GPS baud rate.	gpsbaud <auto,0,4800,9600,19200,38400,57600,115200>	safe
ghostesp	Bluetooth	ghost-blescan	Scan Bluetooth	Scan nearby Bluetooth Low Energy devices.	blescan [options]	safe
ghostesp	Bluetooth	ghost-blewardrive	BLE wardrive	Start Bluetooth wardriving.	blewardriving [options]	safe
ghostesp	Bluetooth	ghost-listairtags	List AirTags	List detected AirTag-compatible advertisers.	listairtags	safe
ghostesp	Bluetooth	ghost-selectairtag	Select AirTag	Select an AirTag result by index.	selectairtag <index>	safe
ghostesp	Bluetooth	ghost-spoofairtag	Spoof AirTag	Transmit as the selected AirTag.	spoofairtag [options]	safe
ghostesp	Bluetooth	ghost-stopspoof	Stop AirTag spoof	Stop active AirTag spoofing.	stopspoof	safe
ghostesp	Bluetooth	ghost-blespam	BLE advertisement test	Run a selected BLE advertisement test pattern.	blespam [options]	safe
ghostesp	Bluetooth	ghost-listadv	List advertisers	List Bluetooth advertisers.	listadv	safe
ghostesp	Bluetooth	ghost-listflippers	List Flippers	List detected Flipper devices.	listflippers	safe
ghostesp	Bluetooth	ghost-selectflipper	Select Flipper	Select a Flipper result.	selectflipper <index>	safe
ghostesp	Bluetooth	ghost-listgatt	List GATT devices	List discovered GATT devices.	listgatt	safe
ghostesp	Bluetooth	ghost-selectgatt	Select GATT device	Select a GATT device by index.	selectgatt <index>	safe
ghostesp	Bluetooth	ghost-enumgatt	Enumerate GATT	Enumerate services for the selected GATT device.	enumgatt [options]	safe
ghostesp	Bluetooth	ghost-trackgatt	Track GATT	Track a selected GATT device.	trackgatt [options]	safe
ghostesp	Bluetooth	ghost-blebridge	BLE bridge	Start, stop, inspect, or pair the GhostLink bridge.	blebridge <start,stop,status,pair> [peer_name]	safe
ghostesp	Bluetooth	ghost-chameleon	Chameleon device	Run a Chameleon connection, scan, reader, emulator, or status operation.	chameleon <operation> [arguments...]	safe
ghostesp	Communication	ghost-commdiscovery	Peer discovery status	Show ESP communication peer discovery status.	commdiscovery	safe
ghostesp	Communication	ghost-commconnect	Connect peer	Connect to a discovered ESP peer.	commconnect <peer_name>	safe
ghostesp	Communication	ghost-commsend	Send peer command	Send a command and optional data to the connected ESP peer.	commsend <command> [data...]	safe
ghostesp	Communication	ghost-commstatus	Peer status	Show ESP communication status.	commstatus	safe
ghostesp	Communication	ghost-commdisconnect	Disconnect peer	Disconnect the current ESP peer.	commdisconnect	safe
ghostesp	Communication	ghost-commsetpins	Set peer UART pins	Change ESP communication TX and RX pins.	commsetpins <tx_pin> <rx_pin>	safe
ghostesp	OTA	ghost-otarecv	Receive peer update	Prepare to receive an OTA firmware image from a peer.	otarecv [options]	safe
ghostesp	OTA	ghost-otastatus	OTA status	Show peer OTA transfer status.	otastatus	safe
ghostesp	OTA	ghost-otaabort	Abort OTA	Abort the current OTA transfer.	otaabort	safe
ghostesp	OTA	ghost-otainfo	OTA information	Show peer OTA capabilities.	otainfo	safe
ghostesp	Portal	ghost-startportal	Start portal	Start an Evil Portal using a file, SSID, and optional password.	startportal [file_path] [ap_ssid] [password]	safe
ghostesp	Portal	ghost-stopportal	Stop portal	Stop the active portal.	stopportal	safe
ghostesp	Portal	ghost-listportals	List portals	List stored Evil Portal files.	listportals	safe
ghostesp	Portal	ghost-evilportal	Portal command	Run an Evil Portal configuration command.	evilportal <options...>	safe
ghostesp	Portal	ghost-sinkhole	DNS sinkhole	Control the DNS sinkhole feature.	sinkhole [options]	safe
ghostesp	LED	ghost-rgbmode	LED effect	Select an RGB LED effect or color.	rgbmode <rainbow,police,strobe,knight,off,color>	safe
ghostesp	LED	ghost-setrgbmode	Set LED mode	Set the saved RGB LED mode.	setrgbmode <mode>	safe
ghostesp	LED	ghost-setrgbpins	Set RGB pins	Set red, green, and blue GPIO pins.	setrgbpins <red_pin> <green_pin> <blue_pin>	safe
ghostesp	LED	ghost-setrgbcount	Set RGB count	Set the number of attached RGB LEDs.	setrgbcount <led_count>	safe
ghostesp	LED	ghost-setbrightness	Set LED brightness	Set maximum NeoPixel brightness percentage.	setneopixelbrightness <percent>	safe
ghostesp	LED	ghost-getbrightness	LED brightness	Show maximum NeoPixel brightness.	getneopixelbrightness	safe
ghostesp	Hardware	ghost-nfc	NFC command	Run a supported NFC subcommand.	nfc <options...>	safe
ghostesp	Hardware	ghost-nfctest	NFC self-test	Run the NFC hardware self-test.	nfctest	safe
ghostesp	Hardware	ghost-ir	Infrared command	Run an infrared send, learn, receive, list, show, universal, or dazzler operation.	ir <operation> [arguments...]	safe
ghostesp	Hardware	ghost-nrf24	nRF24 command	Run an nRF24 radio operation.	nrf24 <options...>	safe
ghostesp	Hardware	ghost-subghz	Sub-GHz command	Run a sub-GHz radio operation.	subghz <options...>	safe
ghostesp	Hardware	ghost-audio	Audio command	Run a supported audio operation.	audio <options...>	safe
ghostesp	Hardware	ghost-badusb	BadUSB command	Run a supported USB HID script operation.	badusb <options...>	safe
ghostesp	Hardware	ghost-usbkbd	USB keyboard	Run a USB keyboard operation on supported S3 hardware.	usbkbd <options...>	safe
ghostesp	Hardware	ghost-mic-cal	Microphone calibration	Run microphone calibration on supported hardware.	mic_cal [options]	safe
ghostesp	Hardware	ghost-identify	Identify device	Run the physical device identification indicator.	identify [options]	safe
ghostesp	Hardware	ghost-input	Input control	Send a firmware input action.	input <options...>	safe
ghostesp	Hardware	ghost-iobtn	I/O button	Configure or trigger an I/O button action.	iobtn <options...>	safe
ghostesp	Hardware	ghost-mirror	Mirror mode	Control device mirror mode.	mirror <options...>	safe
ghostesp	Hardware	ghost-rave	Rave mode	Control the device rave feature.	rave <options...>	safe
ghostesp	Hardware	ghost-raveport	Rave port	Configure the rave communication port.	raveport <options...>	safe
ghostesp	Hardware	ghost-aerialscan	Aerial scan	Scan for supported aerial devices.	aerialscan [options]	safe
ghostesp	Hardware	ghost-aeriallist	List aerial devices	List detected aerial devices.	aeriallist	safe
ghostesp	Hardware	ghost-aerialtrack	Track aerial device	Track a selected aerial device.	aerialtrack <index>	safe
ghostesp	Hardware	ghost-aerialstop	Stop aerial operation	Stop the current aerial operation.	aerialstop	safe
ghostesp	Hardware	ghost-aerialspoof	Spoof aerial device	Transmit as a selected aerial device.	aerialspoof <index>	safe
ghostesp	Hardware	ghost-aerialspoofstop	Stop aerial spoof	Stop aerial spoofing.	aerialspoofstop	safe
ghostesp	Hardware	ghost-flockscan	Flock scan	Scan for Flock-compatible signals.	flockscan	safe
ghostesp	Hardware	ghost-flocklist	List Flock devices	List detected Flock-compatible devices.	flocklist	safe
ghostesp	Hardware	ghost-flockstop	Stop Flock scan	Stop Flock scanning.	flockstop	safe
ghostesp	Hardware	ghost-motion	Motion detection	Configure or control camera motion detection.	motion <operation> [arguments...]	safe
ghostesp	Hardware	ghost-camera	Camera stream	Configure or control the camera stream.	camerastream <operation> [arguments...]	safe
ghostesp	Hardware	ghost-apps	Applications	List or launch firmware applications.	apps [options]	safe
ghostesp	Ethernet	ghost-ethup	Start Ethernet	Bring up the Ethernet interface.	ethup	safe
ghostesp	Ethernet	ghost-ethdown	Stop Ethernet	Bring down the Ethernet interface.	ethdown	safe
ghostesp	Ethernet	ghost-ethinfo	Ethernet information	Show Ethernet link information.	ethinfo	safe
ghostesp	Ethernet	ghost-ethfp	Ethernet fingerprint	Fingerprint devices over Ethernet.	ethfp [options]	safe
ghostesp	Ethernet	ghost-etharp	Ethernet ARP scan	Run an ARP scan over Ethernet.	etharp [options]	safe
ghostesp	Ethernet	ghost-ethports	Ethernet port scan	Scan Ethernet host ports.	ethports [ip_address] [port_range]	safe
ghostesp	Ethernet	ghost-ethping	Ethernet ping	Ping over Ethernet.	ethping [target]	safe
ghostesp	Ethernet	ghost-ethdns	Ethernet DNS	Resolve a hostname over Ethernet.	ethdns <hostname>	safe
ghostesp	Ethernet	ghost-ethtrace	Ethernet trace	Trace a route over Ethernet.	ethtrace <host> [max_hops]	safe
ghostesp	Ethernet	ghost-ethstats	Ethernet statistics	Show Ethernet statistics.	ethstats	safe
ghostesp	Ethernet	ghost-ethconfig	Ethernet configuration	Run an Ethernet configuration operation.	ethconfig <operation> [arguments...]	safe
ghostesp	Ethernet	ghost-ethmac	Ethernet MAC	Show the Ethernet MAC address.	ethmac	safe
ghostesp	Ethernet	ghost-ethserv	Ethernet services	Discover services at an optional IP address.	ethserv [ip_address]	safe
ghostesp	Ethernet	ghost-ethntp	Ethernet NTP	Query an NTP server over Ethernet.	ethntp [ntp_server]	safe
ghostesp	Ethernet	ghost-ethhttp	Ethernet HTTP	Fetch a URL over Ethernet.	ethhttp <url> [lines_or_all]	safe
ghostesp	Ethernet	ghost-ethpoison	Ethernet poisoning test	Run the Ethernet poisoning test operation.	ethpoison <options...>	safe
ghostesp	Network	ghost-tplink	TP-Link test	Run the configured TP-Link device test.	tplinktest <options...>	safe
ghostesp	Network	ghost-wol	Wake on LAN	Send a Wake-on-LAN packet.	wol <mac_or_ip> [broadcast_ip]	safe
ghostesp	Network	ghost-govee	Govee control	Scan or control a Govee device.	govee <options...>	safe
ghostesp	Network	ghost-dial	Dial connect	Run the configured dial connection operation.	dialconnect	safe
ghostesp	Network	ghost-printer	Printer action	Send text to a configured network printer.	powerprinter <printer_ip> <text> <font_size> <alignment>	safe
ghostesp	Scripts	ghost-script	GhostScript	List, run, inspect, or stop a GhostScript.	script <list,run,status,stop> [index]	safe
ghostesp	System	ghost-stop	Stop current operation	Stop the active firmware operation.	stop	safe
